Depth,DT,RHOB,NPHI,PEF,SGR,RT
3388.0044,56.6615,2.6525,0.104517,4.2138,55.1391,164.101
3430.3716,54.306,2.6825,3.62E-02,4.8015,26.653,17.2578
3524.5548,53.538,2.7198,0.112883,3.3883,49.7793,10.493
3270.6564,62.2217,2.5617,8.56E-02,3.8089,27.086,2000
3258.1596,63.0851,2.6421,0.131223,3.8718,34.1764,3.1445
3269.1324,54.6643,2.63,0.056332,4.7051,21.35,74.071
3509.3148,73.6481,2.452,0.158153,2.8459,59.1803,6.1446
3308.604,63.1654,2.6623,0.20406,3.7237,98.1667,2.8483
3126.486,55.8827,2.738,0.112996,3.6985,56.2143,8.1356
3370.1736,72.2569,2.4157,0.271049,3.615,31.0017,5.182
3311.1921,58.84,2.585,0.173792,3.908,39.5989,3.914
3333.4452,72.1104,2.3375,0.291279,3.3434,34.9953,5.808
3312.5637,62.84,2.607,0.18191,4.507,34.779,2.696
3282.696,60.1558,2.5852,0.109485,3.066,43.3965,54.1179
3311.8044,55.268,2.5749,7.79E-02,4.8022,18.2087,51.7954
3303.7272,50.7038,2.7308,1.48E-02,4.8636,25.2631,171.781
3276.7524,66.9257,2.3556,0.109351,2.2588,25.9564,1423.3
3259.8288,59.26,2.598,0.176,3.326,53.28,7.855
3383.7372,56.2456,2.6787,6.86E-02,4.5266,43.6389,27.3387
3546.9576,58.3484,2.6638,0.059843,4.5953,30.8566,12.7179
3278.124,56.9379,2.5884,8.16E-02,3.1354,30.9002,82.4072
3435.096,66.5576,2.5065,0.163984,3.8098,29.1893,21.5057
3330.702,60.4584,2.7658,9.63E-02,3.981,32.0361,18.6899
3415.2768,57.87,2.672,0.1151,3.436,62.26,3.894
3302.6532,65.51,2.632,0.1862,3.655,79.34,3.254
3234.69,66.9713,2.5505,22.1497,3.1914,41.932,1.3753
3505.2,67.9141,2.5042,0.157994,3.6901,30.4082,27.5285
3547.7196,57.5854,2.6657,5.12E-02,4.6376,29.9926,11.973
3407.664,62.6574,2.5481,0.193637,3.6081,38.7974,72.812
3544.2144,62.4374,2.5835,0.127739,4.9221,26.1273,2.6935
3504.8952,67.0544,2.5127,0.172704,3.6969,20.9022,88.2039
3464.5092,55.7464,2.6802,4.09E-02,4.2023,70.0144,15.7311
3544.3668,61.9525,2.5882,0.124539,4.7203,26.3049,2.7774
3090.2148,54.6776,2.6627,0.088776,4.1243,24.3124,29.6895
3426.5616,62.7291,2.5974,0.157815,3.6282,35.182,10.6
3545.586,59.5304,2.686,9.03E-02,5.0188,29.6002,5.6935
3525.012,52.68,2.7161,0.10708,3.4379,45.0487,21.0256
3499.2564,64.3886,2.5613,0.151769,4.1619,38.5796,26.5762
3583.686,-999.25,2.6875,5.94E-02,4.691,33.7735,13.4869
3272.6376,80.1642,2.4095,0.127947,2.4333,53.9928,6.39
2958.5412,62.1993,2.7135,0.126034,4.2687,27.7237,1711.7
3689.1468,53.102,2.7118,0.020461,4.789,34.2371,114.193
3657.7524,54.2607,2.7311,1.77E-02,4.8201,39.629,58.5141
3692.3472,54.9406,2.7027,2.81E-02,4.896,43.3194,20.7417
3540.4044,50.7309,2.8261,3.58E-02,4.3817,28.734,85.4091
3571.7988,52.7854,2.8184,3.56E-02,4.6795,26.1712,1293.09
3509.3148,63.9802,2.4939,0.19329,3.604,48.0375,15.0903
3839.4132,82.9717,2.6539,0.259586,3.8656,119.414,2.7393
3688.2324,53.8643,2.7152,2.76E-02,4.8645,32.1632,42.7085
3691.7376,52.6167,2.7584,6.07E-02,4.433,48.3076,259.168
3700.4244,61.3966,2.7067,6.97E-02,4.5907,21.9063,20.3534
3709.7208,67.5014,2.4625,0.158305,3.0642,34.1002,15.6353
3645.5604,62.23,2.5361,0.119304,4.5524,45.1409,36.2494
3821.1252,61.0216,2.5739,8.84E-02,4.1579,14.7705,22.4641
3646.17,56.8346,2.63,7.02E-02,4.8517,38.6878,37.3947
3592.3728,64.9208,2.6693,0.18039,3.7663,98.5491,3.7944
3858.3108,56.0103,2.717,3.36E-02,4.7929,32.3784,32.142
3723.7416,71.8205,2.5423,0.121978,3.073,40.4737,1.8788
3694.7856,63.6431,2.6075,0.100963,4.5835,29.3515,6.2425
3836.5176,58.1845,2.7321,0.039833,4.5768,39.0725,33.2728
3812.5908,68.023,2.4819,0.148292,2.9156,25.0611,5.9935
3861.816,-999.25,2.5201,0.143994,2.982,-999.25,0.8881
3139.2876,60.861,2.7131,0.143154,3.9097,44.8221,3.7547
3532.632,66.5213,2.5957,0.062028,2.8486,55.2373,6.7727
3853.2816,64.9194,2.7252,4.68E-02,4.5392,40.0418,22.2961
3840.3276,84.1317,2.663,0.253569,3.9751,112.033,2.9498
3729.6852,69.641,2.4015,0.143974,2.9389,21.9452,0.7236
3725.7228,75.5126,2.335,0.1572,1.9725,19.3045,0.5132
3688.5372,53.388,2.6992,3.03E-02,4.8788,28.8175,26.8768
3396.6912,56.1924,2.6741,0.142856,3.6809,51.6711,5.6207
3853.434,66.1562,2.7182,6.04E-02,4.5789,46.0615,15.2549
3727.8564,75.188,2.359,0.145728,2.0682,20.5097,0.5757
3846.1188,56.8911,2.7231,3.71E-02,4.7273,33.9974,98.5283
3560.3688,54.7879,2.7589,0.07739,3.3501,33.7703,5.4341
3539.0328,56.184,2.7348,9.96E-02,3.4751,65.0865,7.7135
3838.8036,83.6356,2.648,0.253731,3.8546,121.011,2.8696
3774.186,52.8959,2.7104,0.113029,3.9956,39.2638,9.6611
3372.7644,60.1449,2.5614,0.181708,3.3249,30.3835,35.5969
3694.6332,52.921,2.7664,8.24E-02,4.202,40.8696,39.6533
3729.8376,66.6551,2.4205,0.140888,3.8031,22.2123,0.6837
3732.5808,50.9694,2.738,1.66E-02,4.9361,26.414,1119.72
3814.7244,63.2312,2.4964,0.172865,3.5704,18.157,13.9345
3396.234,58.9867,2.6213,0.177227,3.517,48.5551,10.3567
3571.1892,50.9818,2.8026,1.28E-02,4.8738,25.9871,2000
3852.3672,56.2311,2.739,4.25E-02,4.4267,42.9003,18.7103
3707.892,68.5272,2.5304,0.192644,4.0748,31.8031,5.6114
3730.9044,53.1808,2.6868,4.75E-02,4.7921,33.9116,8.1701
3166.4148,57.1551,2.663,12.379,3.9119,78.2747,26.0062
3573.3228,65.64,2.5414,0.174651,3.9655,29.0344,19.9904
3507.9432,49.9749,2.6314,0.015805,4.2431,42.5673,203.72
3335.7312,61.2285,2.5218,0.1647,2.8699,25.0343,46.9789
3537.0516,50.8284,2.8017,2.85E-02,4.3876,33.6927,36.5242
3126.6384,55.8439,2.7385,0.114627,3.6857,55.2116,7.2381
3733.1904,51.9819,2.713,1.22E-02,5.2918,11.7316,174.793
3341.9796,55.0332,2.8054,5.66E-02,3.669,62.8153,26.8149
3633.6732,84.8828,2.319,0.131489,1.8889,28.7848,89.1213
3699.0528,58.418,2.6087,4.91E-02,5.0456,13.0768,36.5536
3477.1584,64.1979,2.6601,0.154767,3.7741,127.136,24.4162
3447.1356,50.3687,2.7321,4.18E-03,5.1367,32.1563,104.489
3668.8776,60.9039,2.6473,0.118479,4.2403,24.7098,24.2453
3484.4736,55.544,2.6495,3.79E-02,5.1437,42.9378,48.1062
3340.4556,49.57,2.785,3.70E-02,4.142,65.23,2000
